timestamp_anon,value,container_ip
1662859290.0,2639.0,086b31f81b1cf0f15e43fe568e3fb8e4
1662859404.0,2766.0,47d94ec84e80267e738db2caca3d9184
1662859461.0,2639.0,03dc060838ef05053bdea6d483cde7e5
1662859518.0,39010.0,ff0a53d0bc20c807643d80daf7c71887
1662859518.0,2652.0,3ed83727fd0a4a21f681882036a57972
1662859575.0,3154.0,23b8eba99c14e73d454503a55ae96989
1662859632.0,2822.0,2e6ae9139876748af8cf4e03e8d5cd77
1662859632.0,2913.0,0ec705c2842d35b28efbea446e2c9255
1662859689.0,2672.0,03dc060838ef05053bdea6d483cde7e5
1662859746.0,2505.0,23b8eba99c14e73d454503a55ae96989
1662859803.0,2917.0,3ed83727fd0a4a21f681882036a57972
1662859860.0,2554.0,3ed83727fd0a4a21f681882036a57972
1662859860.0,2955.0,0ec705c2842d35b28efbea446e2c9255
1662859860.0,2902.0,87c154e38b8914909c4ed0f20e72a361
1662859917.0,3104.0,0ec705c2842d35b28efbea446e2c9255
1662859974.0,2677.0,6dcc7f244fba016765742bf41e7605e9
1662860031.0,2831.0,6dcc7f244fba016765742bf41e7605e9
1662860031.0,2726.0,3ed83727fd0a4a21f681882036a57972
1662860145.0,2587.5,2e6ae9139876748af8cf4e03e8d5cd77
1662860145.0,2729.0,7ded678c006c99a1018de19c833c7ab4
1662860202.0,2600.0,7ded678c006c99a1018de19c833c7ab4
1662860202.0,2795.0,7b22f291523785e52e52ce3409760c39
1662860259.0,2679.0,3ed83727fd0a4a21f681882036a57972
1662860259.0,2532.0,6dcc7f244fba016765742bf41e7605e9
1662860316.0,3312.0,47d94ec84e80267e738db2caca3d9184
1662860373.0,2992.0,83e64a296f3943e4ca90d52cce91de5c
1662860373.0,2839.0,3de9cc1314ba06b9d4c8d66a3d361666
1662860487.0,2757.0,2a2ad10c55eff29ee870718a85944d13
1662860544.0,2553.0,2a2ad10c55eff29ee870718a85944d13
1662860544.0,2709.0,6dcc7f244fba016765742bf41e7605e9
1662860658.0,2892.0,9cd20d9c3dcebaf54796126cf30daf5e
1662860658.0,2782.0,e02e18dca6eef690db7e3911f7c82f70
1662860715.0,2468.0,6dcc7f244fba016765742bf41e7605e9
1662860772.0,3003.0,e02e18dca6eef690db7e3911f7c82f70
1662860772.0,3739.0,9cd20d9c3dcebaf54796126cf30daf5e
1662860829.0,2849.0,2e6ae9139876748af8cf4e03e8d5cd77
1662860829.0,3277.0,03dc060838ef05053bdea6d483cde7e5
1662860886.0,2820.0,53004baba968bc88ad49ca6e047a0733
1662861000.0,2746.0,9cd20d9c3dcebaf54796126cf30daf5e
